Country,HUMANRIGHTS
Yemen,113.5
Somalia,112.3
South Sudan,112.2
Syria,111.5
Congo Democratic Republic,110.2
Central African Republic,108.9
Chad,108.5
Sudan,108
Afghanistan,105
Zimbabwe,99.5
Guinea,99.4
Haiti,99.3
Iraq,99.1
Nigeria,98.5
Burundi,98.2
Cameroon,97
Eritrea,96.4
Niger,96.2
Guinea Bissau,95.5
Uganda,95.3
Mali,94.5
Myanmar,94.3
Pakistan,94.2
Ethiopia,94.2
Kenya,93.5
North Korea,92.7
Congo Republic,92.5
Libya,92.2
Cote d'Ivoire,92.1
Liberia,90.2
Mauritania,90.1
Venezuela,89.3
Mozambique,88.7
Egypt,88.4
Angola,87.8
Bangladesh,87.7
Rwanda,87.5
Togo,87.4
Sierra Leone,86.8
Zambia,85.7
Timor-Leste,85.5
Eswatini,85.3
Djibouti,85.1
Lebanon,85
Nepal,84.7
Sri Lanka,84
Burkina Faso,83.9
Gambia,83.9
Malawi,83.3
Papua New Guinea,83.1
Philippines,83.1
Iran,83
Equatorial Guinea,82.6
Cambodia,82.5
Solomon Islands,81.9
Comoros,81.7
Guatemala,81.4
Madagascar,80.9
Turkey,80.3
Tanzania,80.1
Lesotho,79.7
Laos,78.7
Nicaragua,78.1
Honduras,77.8
Tajikistan,77.7
Senegal,77.2
Israel and West Bank,76.5
Kyrgyz Republic,76.2
Jordan,75.9
Colombia,75.7
Uzbekistan,75.7
Algeria,75.4
Russia,74.7
India,74.4
Benin,73.6
Azerbaijan,73.2
Thailand,73.1
Morocco,73
Micronesia,73
Bolivia,72.9
Georgia,72
Bhutan,72
Brazil,71.8
Fiji,71.7
Turkmenistan,71.4
Bosnia and Herzegovina,71.3
Ecuador,71.2
Sao Tome and Principe,71.1
China,71.1
South Africa,71.1
Ukraine,71
Gabon,70.5
Saudi Arabia,70.4
Indonesia,70.4
Tunisia,70.1
El Salvador,69.8
Maldives,69.8
Mexico,69.7
Peru,68.2
Guyana,68.2
Belarus,68.2
Serbia,68
Moldova,67.1
Paraguay,67
Armenia,66.7
Cape Verde,66.6
Namibia,66.4
Dominican Republic,66.2
Vietnam,66.1
Ghana,65.9
Macedonia,64.6
Samoa,64.2
Bahrain,63.8
Belize,62.5
Suriname,61.9
Kazakhstan,61.6
Jamaica,61.2
Cuba,60.8
Malaysia,60.5
Botswana,59.5
Albania,58.9
Cyprus,57.8
Grenada,57.6
Brunei Darussalam,57.5
Montenegro,55.3
Seychelles,55.2
Antigua and Barbuda,54.4
Mongolia,54.1
Greece,53.9
Kuwait,53.2
Trinidad and Tobago,53
Bulgaria,50.6
Oman,50
Hungary,49.6
Bahamas,48.8
Barbados,48
Romania,47.8
Croatia,47.5
Panama,47
Argentina,46
Qatar,45.4
Latvia,43.9
Italy,43.8
Poland,42.8
Costa Rica,42
Estonia,40.8
Spain,40.7
Slovak Republic,40.5
United Arab Emirates,40.1
Mauritius,38.9
Chile,38.9
Lithuania,38.1
United States,38
Czechia,37.6
United Kingdom,36.7
Malta,34.5
Japan,34.3
Uruguay,34
South Korea,33.7
France,32
Belgium,28.6
Singapore,28.1
Slovenia,28
Portugal,25.3
Austria,25
Netherlands,24.8
Germany,24.7
Ireland,20.6
Luxembourg,20.4
Sweden,20.3
New Zealand,20.1
Canada,20
Iceland,19.8
Australia,19.7
Denmark,19.5
Switzerland,18.7
Norway,18
Finland,16.9
