Country,value
Syria,40.58
South Sudan,20.97
Equatorial Guinea,13.96
Venezuela,13.88
British Virgin Islands,13.56
Cayman Islands,12.56
Luxembourg,12.01
Anguilla,10.67
Monaco,10.03
Turks and Caicos Islands,8.58
Aruba,8.18
Burundi,7.09
Cyprus,6.96
Australia,6.93
San Marino,6.11
South Georgia and South Sandwich Islands,5.9
New Zealand,5.83
Sint Maarten,5.83
Saudi Arabia,5.52
Malta,5.49
Canada,5.46
Liechtenstein,4.81
Isle of Man,4.76
Djibouti,4.59
Switzerland,4.52
Belgium,4.38
Spain,4.35
Singapore,4.22
Norway,3.92
Ireland,3.79
Gabon,3.67
New Caledonia,3.66
Sweden,3.6
United Kingdom,3.59
Austria,3.55
Panama,3.42
Macau,3.15
Italy,3.02
United States,3.02
Iceland,2.89
Botswana,2.81
Denmark,2.73
"Korea, South",2.63
Suriname,2.54
Qatar,2.45
Finland,2.35
Czechia,2.32
Brunei,2.18
Antigua and Barbuda,2.03
Sierra Leone,2.03
Israel,2.02
Netherlands,1.9
Germany,1.78
Jersey,1.76
Guernsey,1.7
Russia,1.7
Hong Kong,1.65
Slovenia,1.54
Bermuda,1.49
Malaysia,1.48
Hungary,1.23
Cote d'Ivoire,1.18
Saint Kitts and Nevis,1.16
France,1.06
Greece,1
Portugal,0.91
Seychelles,0.86
Taiwan,0.85
Costa Rica,0.77
Japan,0.74
Belarus,0.72
Palau,0.6
Kazakhstan,0.39
North Macedonia,0.38
Chile,0.33
Benin,0.24
Zambia,0.24
Slovakia,0.2
India,0.16
Philippines,0.13
Georgia,0.06
Andorra,0
Azerbaijan,0
"Bahamas, The",0
Bhutan,0
"Congo, Republic of the",0
Ecuador,0
Faroe Islands,0
Guinea,0
Madagascar,0
Malawi,0
Mauritius,0
Montserrat,0
Namibia,0
Papua New Guinea,0
"Saint Helena, Ascension, and Tristan da Cunha",0
Serbia,0
South Africa,0
"Gambia, The",-0.04
"Korea, North",-0.04
Paraguay,-0.07
Argentina,-0.08
Afghanistan,-0.1
China,-0.11
Chad,-0.13
Thailand,-0.13
Ghana,-0.16
Angola,-0.19
Brazil,-0.19
Ethiopia,-0.19
Kenya,-0.19
Yemen,-0.19
Nigeria,-0.21
Vietnam,-0.22
Ukraine,-0.26
Barbados,-0.29
Bulgaria,-0.29
Iran,-0.3
Cameroon,-0.31
Egypt,-0.31
Poland,-0.33
Bosnia and Herzegovina,-0.38
Tanzania,-0.41
Oman,-0.45
Croatia,-0.5
Cabo Verde,-0.57
Burkina Faso,-0.61
French Polynesia,-0.63
Niger,-0.64
Paracel Islands,-0.66
"Congo, Democratic Republic of the",-0.71
Indonesia,-0.71
Senegal,-0.71
Mauritania,-0.72
Peru,-0.75
Mexico,-0.76
Mongolia,-0.77
Algeria,-0.82
Bahrain,-0.82
Iraq,-0.83
Uruguay,-0.88
Lebanon,-0.94
Belize,-0.96
Pakistan,-0.96
Bolivia,-0.98
Trinidad and Tobago,-1.01
Tajikistan,-1.03
Kosovo,-1.07
Saint Lucia,-1.09
Laos,-1.17
Sri Lanka,-1.22
Vanuatu,-1.3
Curacao,-1.31
Tunisia,-1.33
Honduras,-1.34
Burma,-1.37
Turkey (Turkiye),-1.54
Solomon Islands,-1.55
Colombia,-1.58
Mozambique,-1.58
Libya,-1.61
Guatemala,-1.66
Sudan,-1.67
Turkmenistan,-1.71
Morocco,-1.74
Uzbekistan,-1.78
Togo,-1.81
Saint Barthelemy,-1.83
Haiti,-1.88
Nicaragua,-2.15
Somalia,-2.18
Comoros,-2.25
Grenada,-2.43
Dominican Republic,-2.68
Cambodia,-2.7
Liberia,-2.74
Estonia,-2.79
Kiribati,-2.8
Bangladesh,-2.9
Cuba,-2.92
Mali,-3.08
Rwanda,-3.21
Central African Republic,-3.22
Albania,-3.23
Gibraltar,-3.25
Uganda,-3.26
United Arab Emirates,-3.45
Guinea-Bissau,-3.63
Timor-Leste,-3.82
Tokelau,-3.84
Kuwait,-3.87
Wallis and Futuna,-3.96
West Bank,-4.09
Nepal,-4.21
Romania,-4.36
Marshall Islands,-4.37
Lithuania,-4.54
Gaza Strip,-4.55
Lesotho,-4.55
Zimbabwe,-4.83
Kyrgyzstan,-4.87
Montenegro,-4.97
Greenland,-5
Latvia,-5.19
Dominica,-5.31
Armenia,-5.36
Svalbard,-5.57
Fiji,-5.84
Saint Martin,-6.13
Eswatini,-6.16
El Salvador,-6.29
Tuvalu,-6.41
Saint Vincent and the Grenadines,-6.47
Sao Tome and Principe,-7.19
Saint Pierre and Miquelon,-7.23
Virgin Islands,-7.35
Guyana,-7.42
Samoa,-7.51
Jamaica,-7.7
Moldova,-8.87
Eritrea,-10.11
Nauru,-10.6
Guam,-10.96
Jordan,-11.08
Puerto Rico,-11.9
Maldives,-12.78
Northern Mariana Islands,-13.6
Tonga,-18.01
"Micronesia, Federated States of",-20.91
Cook Islands,-27.31
American Samoa,-29.8
